,name,hierarchy,countries,iso3
78,GCAM 7.1|Africa_Western,GCAM 7.1,"['Benin', 'Congo', 'Democratic Republic of the Congo', 'Cameroon', 'Chad', 'Central African Republic', 'Cabo Verde', 'Equatorial Guinea', 'Gambia', 'Gabon', 'Ghana', 'Guinea', ""Côte d'Ivoire"", 'Liberia', 'Mali', 'Mauritania', 'Niger', 'Nigeria', 'Guinea-Bissau', 'Senegal', 'Sierra Leone', 'Togo', 'Sao Tome and Principe', 'Burkina Faso']","['BEN', 'COG', 'COD', 'CMR', 'TCD', 'CAF', 'CPV', 'GNQ', 'GMB', 'GAB', 'GHA', 'GIN', 'CIV', 'LBR', 'MLI', 'MRT', 'NER', 'NGA', 'GNB', 'SEN', 'SLE', 'TGO', 'STP', 'BFA']"
79,GCAM 7.1|Argentina,GCAM 7.1,['Argentina'],['ARG']
80,GCAM 7.1|Australia_NZ,GCAM 7.1,"['Australia', 'New Zealand']","['AUS', 'NZL']"
81,GCAM 7.1|Brazil,GCAM 7.1,['Brazil'],['BRA']
82,GCAM 7.1|Canada,GCAM 7.1,['Canada'],['CAN']
83,GCAM 7.1|Central America and Caribbean,GCAM 7.1,"['Antigua and Barbuda', 'Barbados', 'Bermuda', 'Bahamas', 'Belize', 'Cayman Islands', 'Costa Rica', 'Cuba', 'Dominica', 'Dominican Republic', 'El Salvador', 'Grenada', 'Guatemala', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Montserrat', 'Aruba', 'Anguilla', 'Nicaragua', 'Panama', 'Saint Kitts and Nevis', 'Saint Lucia', 'Trinidad and Tobago', 'Saint Vincent and the Grenadines', 'Guadeloupe']","['ATG', 'BRB', 'BMU', 'BHS', 'BLZ', 'CYM', 'CRI', 'CUB', 'DMA', 'DOM', 'SLV', 'GRD', 'GTM', 'HTI', 'HND', 'JAM', 'MTQ', 'MSR', 'ABW', 'AIA', 'NIC', 'PAN', 'KNA', 'LCA', 'TTO', 'VCT', 'GLP']"
84,GCAM 7.1|Central Asia,GCAM 7.1,"['Azerbaijan', 'Armenia', 'Georgia', 'Kyrgyzstan', 'Kazakhstan', 'Mongolia', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']","['AZE', 'ARM', 'GEO', 'KGZ', 'KAZ', 'MNG', 'TJK', 'TKM', 'UZB']"
85,GCAM 7.1|China,GCAM 7.1,"['China', 'Hong Kong', 'Macao']","['CHN', 'HKG', 'MAC']"
86,GCAM 7.1|Colombia,GCAM 7.1,['Colombia'],['COL']
87,GCAM 7.1|EU-12,GCAM 7.1,"['Bulgaria', 'Cyprus', 'Estonia', 'Czechia', 'Hungary', 'Latvia', 'Lithuania', 'Slovakia', 'Malta', 'Poland', 'Romania', 'Slovenia']","['BGR', 'CYP', 'EST', 'CZE', 'HUN', 'LVA', 'LTU', 'SVK', 'MLT', 'POL', 'ROU', 'SVN']"
