model,scenario,region,variable,unit,method
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO2|Residential Commercial Other,Mt CO2/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO2|Solvents Production and Application,Mt CO2/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO2|Transportation Sector,Mt CO2/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO2|Waste,Mt CO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Agricultural Waste Burning,kt N2O/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Agriculture,kt N2O/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|N2O|Aircraft,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Energy Sector,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Forest Burning,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Grassland Burning,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Industrial Sector,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|N2O|International Shipping,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Peat Burning,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Residential Commercial Other,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Solvents Production and Application,kt N2O/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Transportation Sector,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|N2O|Waste,kt N2O/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Agricultural Waste Burning,Mt NH3/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Agriculture,Mt NH3/yr,reduce_ratio_2050
