,name,hierarchy,countries,iso3
96,COFFEE 1.5|Middle East,COFFEE 1.5,"['Bahrain', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'United Arab Emirates', 'Yemen']","['BHR', 'IRN', 'IRQ', 'ISR', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'ARE', 'YEM']"
97,COFFEE 1.5|Rest of Asia and Oceania,COFFEE 1.5,"['Antarctica', 'Bangladesh', 'Bhutan', 'British Indian Ocean Territory', 'Brunei Darussalam', 'Cambodia', 'Christmas Island', 'Cocos (Keeling) Islands', 'Cook Islands', 'Fiji', 'French Polynesia', 'French Southern Territories', 'Guam', 'Heard Island and McDonald Islands', 'Indonesia', 'Kiribati', 'Laos', 'Malaysia', 'Maldives', 'Marshall Islands', 'Micronesia', 'Mongolia', 'Myanmar', 'Nauru', 'Nepal', 'New Caledonia', 'Niue', 'Norfolk Island', 'North Korea', 'Northern Mariana Islands', 'Palau', 'Papua New Guinea', 'Philippines', 'Pitcairn', 'Samoa', 'Singapore', 'Solomon Islands', 'Sri Lanka', 'Taiwan', 'Thailand', 'Timor-Leste', 'Tokelau', 'Tonga', 'Tuvalu', 'Vanuatu', 'Viet Nam', 'Wallis and Futuna']","['ATA', 'BGD', 'BTN', 'IOT', 'BRN', 'KHM', 'CXR', 'CCK', 'COK', 'FJI', 'PYF', 'ATF', 'GUM', 'HMD', 'IDN', 'KIR', 'LAO', 'MYS', 'MDV', 'MHL', 'FSM', 'MNG', 'MMR', 'NRU', 'NPL', 'NCL', 'NIU', 'NFK', 'PRK', 'MNP', 'PLW', 'PNG', 'PHL', 'PCN', 'WSM', 'SGP', 'SLB', 'LKA', 'TWN', 'THA', 'TLS', 'TKL', 'TON', 'TUV', 'VUT', 'VNM', 'WLF']"
98,COFFEE 1.5|Russia,COFFEE 1.5,['Russian Federation'],['RUS']
99,COFFEE 1.5|South Africa,COFFEE 1.5,['South Africa'],['ZAF']
100,COFFEE 1.5|South America,COFFEE 1.5,"['Argentina', 'Bolivia', 'Chile', 'Colombia', 'Ecuador', 'Falkland Islands (Malvinas)', 'Paraguay', 'Peru', 'South Georgia and the South Sandwich Islands', 'Uruguay', 'Venezuela']","['ARG', 'BOL', 'CHL', 'COL', 'ECU', 'FLK', 'PRY', 'PER', 'SGS', 'URY', 'VEN']"
101,COFFEE 1.5|United States,COFFEE 1.5,"['American Samoa', 'British Virgin Islands', 'Puerto Rico', 'United States', 'United States Minor Outlying Islands', 'United States Virgin Islands']","['ASM', 'VGB', 'PRI', 'USA', 'UMI', 'VIR']"
102,COFFEE 1.5|Rest of Europe,COFFEE 1.5,"['Albania', 'Belarus', 'Bosnia and Herzegovina', 'Croatia', 'Kosovo', 'Moldova', 'Montenegro', 'North Macedonia', 'Serbia', 'Ukraine']","['ALB', 'BLR', 'BIH', 'HRV', 'KOS', 'MDA', 'MNE', 'MKD', 'SRB', 'UKR']"
103,GCAM 7.1|Africa_Eastern,GCAM 7.1,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Réunion', 'Rwanda', 'Somalia', 'Sudan', 'South Sudan', 'Uganda']","['BDI', 'COM', 'DJI', 'ERI', 'ETH', 'KEN', 'MDG', 'MUS', 'REU', 'RWA', 'SOM', 'SDN', 'SSD', 'UGA']"
104,GCAM 7.1|Africa_Northern,GCAM 7.1,"['Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Western Sahara']","['DZA', 'EGY', 'LBY', 'MAR', 'TUN', 'ESH']"
105,GCAM 7.1|Africa_Southern,GCAM 7.1,"['Angola', 'Mozambique', 'Malawi', 'Lesotho', 'Botswana', 'Tanzania', 'Namibia', 'Eswatini', 'Zambia', 'Zimbabwe']","['AGO', 'MOZ', 'MWI', 'LSO', 'BWA', 'TZA', 'NAM', 'SWZ', 'ZMB', 'ZWE']"
106,GCAM 7.1|Africa_Western,GCAM 7.1,"['Benin', 'Congo', 'Democratic Republic of the Congo', 'Cameroon', 'Chad', 'Central African Republic', 'Cabo Verde', 'Equatorial Guinea', 'Gambia', 'Gabon', 'Ghana', 'Guinea', ""Côte d'Ivoire"", 'Liberia', 'Mali', 'Mauritania', 'Niger', 'Nigeria', 'Guinea-Bissau', 'Senegal', 'Sierra Leone', 'Togo', 'Sao Tome and Principe', 'Burkina Faso']","['BEN', 'COG', 'COD', 'CMR', 'TCD', 'CAF', 'CPV', 'GNQ', 'GMB', 'GAB', 'GHA', 'GIN', 'CIV', 'LBR', 'MLI', 'MRT', 'NER', 'NGA', 'GNB', 'SEN', 'SLE', 'TGO', 'STP', 'BFA']"
107,GCAM 7.1|Argentina,GCAM 7.1,['Argentina'],['ARG']
108,GCAM 7.1|Australia_NZ,GCAM 7.1,"['Australia', 'New Zealand']","['AUS', 'NZL']"
109,GCAM 7.1|Brazil,GCAM 7.1,['Brazil'],['BRA']
110,GCAM 7.1|Canada,GCAM 7.1,['Canada'],['CAN']
111,GCAM 7.1|Central America and Caribbean,GCAM 7.1,"['Antigua and Barbuda', 'Barbados', 'Bermuda', 'Bahamas', 'Belize', 'Cayman Islands', 'Costa Rica', 'Cuba', 'Dominica', 'Dominican Republic', 'El Salvador', 'Grenada', 'Guatemala', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Montserrat', 'Aruba', 'Anguilla', 'Nicaragua', 'Panama', 'Saint Kitts and Nevis', 'Saint Lucia', 'Trinidad and Tobago', 'Saint Vincent and the Grenadines', 'Guadeloupe']","['ATG', 'BRB', 'BMU', 'BHS', 'BLZ', 'CYM', 'CRI', 'CUB', 'DMA', 'DOM', 'SLV', 'GRD', 'GTM', 'HTI', 'HND', 'JAM', 'MTQ', 'MSR', 'ABW', 'AIA', 'NIC', 'PAN', 'KNA', 'LCA', 'TTO', 'VCT', 'GLP']"
112,GCAM 7.1|Central Asia,GCAM 7.1,"['Azerbaijan', 'Armenia', 'Georgia', 'Kyrgyzstan', 'Kazakhstan', 'Mongolia', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']","['AZE', 'ARM', 'GEO', 'KGZ', 'KAZ', 'MNG', 'TJK', 'TKM', 'UZB']"
113,GCAM 7.1|China,GCAM 7.1,"['China', 'Hong Kong', 'Macao']","['CHN', 'HKG', 'MAC']"
114,GCAM 7.1|Colombia,GCAM 7.1,['Colombia'],['COL']
115,GCAM 7.1|EU-12,GCAM 7.1,"['Bulgaria', 'Cyprus', 'Estonia', 'Czechia', 'Hungary', 'Latvia', 'Lithuania', 'Slovakia', 'Malta', 'Poland', 'Romania', 'Slovenia']","['BGR', 'CYP', 'EST', 'CZE', 'HUN', 'LVA', 'LTU', 'SVK', 'MLT', 'POL', 'ROU', 'SVN']"
116,GCAM 7.1|EU-15,GCAM 7.1,"['Denmark', 'Ireland', 'Austria', 'Finland', 'Falkland Islands (Malvinas)', 'France', 'Greenland', 'Germany', 'Greece', 'Italy', 'Belgium', 'Faroe Islands', 'Andorra', 'Gibraltar', 'Isle of Man', 'Luxembourg', 'Monaco', 'Netherlands', 'Portugal', 'Spain', 'Sweden', 'United Kingdom', 'British Virgin Islands', 'Saint Pierre and Miquelon', 'San Marino', 'Turks and Caicos Islands']","['DNK', 'IRL', 'AUT', 'FIN', 'FLK', 'FRA', 'GRL', 'DEU', 'GRC', 'ITA', 'BEL', 'FRO', 'AND', 'GIB', 'IMN', 'LUX', 'MCO', 'NLD', 'PRT', 'ESP', 'SWE', 'GBR', 'VGB', 'SPM', 'SMR', 'TCA']"
117,GCAM 7.1|Europe_Eastern,GCAM 7.1,"['Belarus', 'Moldova', 'Ukraine']","['BLR', 'MDA', 'UKR']"
118,GCAM 7.1|Europe_Non_EU,GCAM 7.1,"['Albania', 'Bosnia and Herzegovina', 'Croatia', 'North Macedonia', 'Montenegro', 'Turkey', 'Serbia']","['ALB', 'BIH', 'HRV', 'MKD', 'MNE', 'TUR', 'SRB']"
119,GCAM 7.1|European Free Trade Association,GCAM 7.1,"['Iceland', 'Liechtenstein', 'Norway', 'Switzerland']","['ISL', 'LIE', 'NOR', 'CHE']"
120,GCAM 7.1|India,GCAM 7.1,['India'],['IND']
121,GCAM 7.1|Indonesia,GCAM 7.1,['Indonesia'],['IDN']
122,GCAM 7.1|Japan,GCAM 7.1,['Japan'],['JPN']
123,GCAM 7.1|Mexico,GCAM 7.1,['Mexico'],['MEX']
124,GCAM 7.1|Middle East,GCAM 7.1,"['Bahrain', 'Iran', 'Israel', 'Iraq', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'Yemen', 'United Arab Emirates']","['BHR', 'IRN', 'ISR', 'IRQ', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'YEM', 'ARE']"
125,GCAM 7.1|Pakistan,GCAM 7.1,['Pakistan'],['PAK']
126,GCAM 7.1|Russia,GCAM 7.1,['Russian Federation'],['RUS']
127,GCAM 7.1|South Africa,GCAM 7.1,['South Africa'],['ZAF']
128,GCAM 7.1|South America_Northern,GCAM 7.1,"['French Guiana', 'Guyana', 'Suriname', 'Venezuela']","['GUF', 'GUY', 'SUR', 'VEN']"
129,GCAM 7.1|South America_Southern,GCAM 7.1,"['Bolivia', 'Chile', 'Ecuador', 'Paraguay', 'Peru', 'Uruguay']","['BOL', 'CHL', 'ECU', 'PRY', 'PER', 'URY']"
130,GCAM 7.1|South Asia,GCAM 7.1,"['Bangladesh', 'Sri Lanka', 'Afghanistan', 'Bhutan', 'Maldives', 'Nepal']","['BGD', 'LKA', 'AFG', 'BTN', 'MDV', 'NPL']"
131,GCAM 7.1|South Korea,GCAM 7.1,['South Korea'],['KOR']
