"iso","sector","fuel","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"gin","3E_Enteric-fermentation","process","kt","42.4808","43.9265","45.3605","46.7981","48.2509","49.687","47.9495","47.952","46.1645","46.191","46.0631","46.6934","49.198","51.1955","52.9081","53.44","53.606","53.737","53.888","54.0945","54.236","54.401","54.5985","54.5468","47.8866","34.8363","42.0993","48.257","52.5869","53.846","58.038","62.6591","67.6595","73.6115","79.5846","83.7891","88.2067","92.8574","97.755","104.3666","110.1602","116.144","122.6355","129.4978","136.7425","144.6176","152.5767","161.0131","170.0325","180.534","190.6824","200.8624","211.6317","220.8437","234.2493","247.2743","259.9395","275.4923","289.0022","304.5215","321.0852","338.5227","338.5227"
"gin","3B_Manure-management","process","kt","1.3858","1.4351","1.4847","1.5331","1.5773","1.6241","1.5746","1.5787","1.5275","1.5275","1.518","1.5462","1.6329","1.7019","1.7649","1.7847","1.7943","1.8047","1.8088","1.8144","1.8193","1.8208","1.8272","1.8241","1.5849","1.1784","1.4248","1.631","1.7782","1.8207","1.9611","2.1137","2.2792","2.477","2.6778","2.8179","2.9659","3.1223","3.2877","3.51","3.7071","3.9154","4.1353","4.368","4.6137","4.8528","5.1029","5.3693","5.6508","6.1152","6.4614","6.8272","7.2139","7.5541","7.9801","8.4304","8.9039","9.4022","9.9314","10.4158","11.0016","11.6189","11.6189"
"gin","3D_Rice-Cultivation","process","kt","13.7127","14.3166","14.947","15.6051","16.2925","17.0097","17.759","18.541","19.3572","20.2099","21.0997","22.0282","22.9987","24.0113","25.0686","26.1724","27.3248","28.5282","29.7846","31.0957","32.465","33.8945","35.387","36.9454","38.5723","40.2706","42.044","43.8955","45.8282","47.8461","49.953","52.1529","54.4495","56.8467","59.3502","61.9637","64.6922","67.5401","70.5147","73.6196","66.4807","69.6452","72.9603","76.4331","80.0714","83.8828","87.2381","87.8756","96.3963","162.1344","171.4184","176.8532","181.6812","187.0101","188.6989","186.6482","199.7301","205.6902","195.4695","185.0116","182.514","180.05","180.05"
"glp","3E_Enteric-fermentation","process","kt","3.7276","4.0039","4.2831","4.2594","4.2377","4.2396","4.5121","4.5398","4.5406","4.5401","4.5553","4.6207","4.6342","4.6279","4.7478","5.1559","5.1959","5.4481","5.4701","5.5987","5.699","5.5716","5.6293","5.8643","5.863","5.2014","4.8305","4.7038","4.6462","4.2455","4.1356","3.9772","3.5478","3.6537","3.6669","4.7738","4.974","4.9571","3.8621","3.8793","3.8504","5.2767","4.5994","4.3833","4.3128","4.445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"glp","3B_Manure-management","process","kt","0.1099","0.1136","0.1194","0.1156","0.1143","0.1092","0.1094","0.1095","0.1095","0.1102","0.1111","0.1134","0.1149","0.1176","0.1275","0.1342","0.1405","0.1469","0.1503","0.1538","0.1561","0.1453","0.1568","0.1631","0.1649","0.1508","0.14","0.1408","0.1334","0.121","0.1212","0.1213","0.1177","0.124","0.1101","0.1235","0.1226","0.1161","0.1072","0.1086","0.1131","0.1413","0.129","0.119","0.1114","0.1077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"gmb","3E_Enteric-fermentation","process","kt","5.816","6.1895","6.7419","7.0105","7.3075","7.6134","7.9101","8.4207","8.8543","9.4342","9.8668","10.2586","10.4779","10.6997","10.9215","11.0734","11.202","11.304","11.4007","11.504","11.632","11.7665","11.778","11.507","11.952","12.18","12.559","12.8018","13.1211","12.8093","13.576","13.5799","13.6589","13.6735","13.6936","13.554","13.7257","13.8172","13.8947","13.8647","13.1564","13.528","16.1705","16.6344","16.87","17.1334","17.439","17.8311","18.2639","18.0827","16.6488","15.4071","16.901","18.4454","18.6702","18.0972","16.1534","14.8042","13.9247","13.3489","13.3764","13.4177","13.4177"
"gmb","3B_Manure-management","process","kt","0.2022","0.2153","0.2304","0.2444","0.2593","0.2743","0.2859","0.3045","0.3207","0.3413","0.3574","0.3722","0.3817","0.3917","0.402","0.4103","0.4154","0.4223","0.4288","0.4358","0.4445","0.4536","0.458","0.4548","0.4756","0.4852","0.5014","0.5089","0.5224","0.5034","0.5246","0.5247","0.5331","0.537","0.5347","0.5108","0.5306","0.5353","0.5393","0.5325","0.5144","0.5319","0.6213","0.6449","0.661","0.6781","0.713","0.7392","0.7522","0.7512","0.6745","0.6092","0.6337","0.6935","0.7102","0.6945","0.6434","0.613","0.5958","0.5873","0.5907","0.5955","0.5955"
"gmb","3D_Rice-Cultivation","process","kt","6.1186","6.3227","6.4247","6.7307","6.7816","6.804","4.536","7.3425","6.7307","7.1384","7.1384","5.8716","4.7376","5.5188","5.6196","5.7456","5.5944","5.7708","4.3092","5.4684","7.0056","6.8544","3.7296","2.6712","3.0492","3.8354","4.0144","4.8409","3.5403","3.6812","3.3889","2.8282","2.0808","3.3186","3.8816","4.2923","3.2004","3.528","3.6792","3.8808","3.528","2.52","2.9019","4.032","4.504","4.6234","4.1852","8.568","18.396","21.7098","10.5906","16.0252","16.7278","16.7041","21.4691","16.6068","16.5952","11.3937","16.38","15.3753","8.973","11.6974","11.6974"
"gnb","3E_Enteric-fermentation","process","kt","9.0144","9.008","9.01","9.01","9.01","9.025","9.038","9.0435","9.0575","9.08","9.337","9.599","9.861","10.11","10.372","10.664","10.962","11.274","11.569","11.8481","12.1372","12.4208","12.6944","12.9595","13.2176","13.5517","14.193","14.9202","15.9749","16.3968","16.4427","16.9663","17.4659","17.8887","18.308","18.7576","19.2237","19.6605","20.1334","20.5638","20.6323","20.6623","20.9073","20.9223","22.0417","23.0458","24.1925","25.4031","26.4881","27.5724","28.1631","28.2966","28.9684","29.1407","29.471","29.8196","30.1627","30.5259","31.0514","30.6684","31.0723","31.4794","31.4794"
"gnb","3B_Manure-management","process","kt","0.4943","0.4943","0.4946","0.495","0.495","0.4956","0.4953","0.4957","0.4956","0.4956","0.5111","0.5262","0.5419","0.5599","0.576","0.5994","0.6244","0.651","0.6756","0.6962","0.7154","0.7308","0.746","0.7592","0.7746","0.7915","0.8175","0.841","0.8748","0.8881","0.8926","0.9228","0.951","0.9758","0.9951","1.0189","1.0454","1.0666","1.0901","1.1016","1.1138","1.1158","1.1352","1.1362","0.9799","1.0509","1.1313","1.2199","1.3119","1.4137","1.5193","1.5212","1.5465","1.5576","1.5645","1.5725","1.579","1.5869","1.6094","1.6048","1.621","1.6388","1.6388"
"gnb","3D_Rice-Cultivation","process","kt","4.27","4.55","4.55","5.6","4.2","3.15","2.45","2.1","2.1","2.1","2.1","2.24","2.45","3.5","5.25","6.3","5.6","4.2","4.2","4.2","6.3","10.01","8.4","7","4.2","3.85","3.5","3.4156","3.8247","4.207","4.3005","4.5516","4.4652","4.5703","4.8917","4.5792","4.2","4.2205","4.76","5.2255","4.8244","4.76","4.55","4.55","4.55","4.55","4.9061","5.7538","6.2514","7.0357","6.5393","7.9989","9.45","5.95","7.6509","8.3416","7.4243","7.9683","8.4945","8.3403","8.8658","9.1204","9.1204"
"gnq","3E_Enteric-fermentation","process","kt","0.2569","0.2487","0.2397","0.2333","0.2541","0.2636","0.2708","0.2684","0.2747","0.2829","0.2911","0.2967","0.304","0.3233","0.3334","0.3235","0.3322","0.3323","0.3374","0.3411","0.3452","0.3472","0.3521","0.3559","0.3569","0.3591","0.3623","0.365","0.368","0.3713","0.3742","0.3774","0.3806","0.3822","0.3859","0.3871","0.3906","0.3921","0.3957","0.3976","0.4007","0.4006","0.4022","0.4035","0.4042","0.4058","0.4088","0.4077","0.4075","0.4168","0.4169","0.423","0.4266","0.4267","0.428","0.4296","0.4322","0.4342","0.4371","0.4393","0.4417","0.444","0.444"
"gnq","3B_Manure-management","process","kt","0.0119","0.0124","0.0123","0.0127","0.0136","0.0141","0.0144","0.0143","0.0148","0.015","0.0153","0.0157","0.016","0.0166","0.0174","0.0171","0.0173","0.0176","0.0178","0.0179","0.0185","0.0188","0.0191","0.0196","0.0198","0.0201","0.0203","0.0207","0.0211","0.0215","0.0219","0.0223","0.0227","0.0229","0.0232","0.0235","0.0238","0.0241","0.0245","0.0249","0.0253","0.0253","0.0253","0.0254","0.0257","0.0257","0.0258","0.026","0.026","0.0264","0.0267","0.0271","0.0276","0.0277","0.0278","0.028","0.0282","0.0284","0.0288","0.0289","0.029","0.0292","0.0292"
"grc","3E_Enteric-fermentation","process","kt","202.3266","200.9009","197.6214","190.5657","183.3653","182.5756","185.1802","185.7844","180.1669","176.5707","171.5879","174.3479","181.9975","197.619","197.5247","194.9307","186.4509","177.9352","172.4554","168.706","165.5281","160.7094","158.3642","155.3374","153.4566","153.6622","152.7662","154.5997","154.5747","153.0461","150.0404","148.8813","147.6499","147.0908","147.719","148.8102","148.8956","148.955","149.4154","151.6895","149.9397","149.9129","148.3521","151.7713","148.45","148.3255","149.0115","148.7274","147.8678","149.8197","147.7505","147.0293","141.208","138.446","134.9401","133.0772","134.5153","123.5667","122.1117","120.5261","119.281","113.2845","113.2845"
"grc","3B_Manure-management","process","kt","27.4654","28.3209","27.8876","26.9756","26.5803","27.714","28.2994","27.8399","26.6762","26.0028","25.8813","26.6781","28.7494","32.4781","32.2239","31.2925","30.3212","29.4174","28.7486","28.5135","28.1737","27.4211","27.252","26.5805","26.0665","25.3789","25.796","24.922","24.9124","24.523","23.1813","22.9718","23.4887","23.3595","23.3312","23.0804","22.9183","23.0505","23.0487","23.475","22.3763","21.8313","21.3559","22.8396","22.553","22.0855","22.0886","21.8058","21.4877","21.5667","20.8497","20.6923","19.1309","18.5856","17.7122","17.3404","17.6375","16.391","16.2689","16.7915","17.1141","17.3937","17.3937"
"grc","3D_Rice-Cultivation","process","kt","11.1495","9.3457","9.5185","12.4438","11.9549","8.5025","9.0019","10.5739","10.705","7.9632","7.5096","7.5308","8.6184","10.584","10.08","9.576","9.2232","9.2736","9.2686","8.9712","7.9632","7.8246","7.56","7.56","8.4969","9.072","10.08","11.088","8.1144","8.316","8.1648","7.2576","10.1938","11.9346","13.1569","14.4197","14.6587","13.2304","11.7646","10.069","10.6385","11.3226","11.751","11.9413","11.2265","11.7064","12.8969","12.6662","14.1287","15.1462","15.5817","15.5157","14.1625","13.6557","14.6375","16.2037","15.5741","15.2964","15.0494","18.1894","17.5846","14.5051","14.5051"
"grd","3E_Enteric-fermentation","process","kt","0.4864","0.4384","0.5031","0.4983","0.5119","0.5232","0.4922","0.5067","0.4666","0.4925","0.5009","0.4377","0.46","0.4324","0.3923","0.4665","0.5078","0.5591","0.5503","0.5321","0.5298","0.5193","0.5016","0.4705","0.4311","0.3946","0.3702","0.3564","0.3581","0.3599","0.3611","0.3625","0.3643","0.3661","0.3683","0.3681","0.3681","0.3681","0.3691","0.3659","0.368","0.3681","0.3719","0.3719","0.3719","0.3719","0.3745","0.3828","0.3854","0.3726","0.375","0.3784","0.3755","0.377","0.3776","0.3779","0.3782","0.3782","0.3799","0.38","0.3803","0.3806","0.3806"
"grd","3B_Manure-management","process","kt","0.0186","0.0174","0.0183","0.0184","0.0188","0.0191","0.0191","0.0202","0.0202","0.0211","0.0214","0.0208","0.0217","0.0204","0.0188","0.0202","0.0208","0.0218","0.023","0.0221","0.0215","0.0215","0.0211","0.0207","0.0202","0.0193","0.0186","0.0187","0.0191","0.0197","0.0193","0.0193","0.0196","0.0208","0.0216","0.0207","0.0201","0.0196","0.0209","0.0161","0.0165","0.0176","0.0179","0.0176","0.0172","0.0187","0.0188","0.0195","0.0199","0.0193","0.0193","0.0194","0.0193","0.0194","0.0193","0.0193","0.0192","0.0191","0.0191","0.0191","0.0191","0.0191","0.0191"
"gtm","3E_Enteric-fermentation","process","kt","77.7897","80.2355","82.6908","84.7223","86.6774","84.9746","80.9671","87.924","89.6685","92.5181","100.4579","109.1606","106.7785","99.0725","96.135","81.9495","91.6413","96.0655","100.0551","122.397","127.9331","120.9146","133.8116","127.636","127.9386","124.6656","123.6125","127.6659","126.2374","126.0339","128.9703","138.0542","146.6943","141.9596","142.2555","142.6816","144.8594","143.499","152.0113","151.6847","158.459","161.6124","150.0302","158.0634","163.5364","168.0685","178.2334","188.5736","198.8489","206.9803","205.6289","209.4883","211.4469","221.0809","226.0532","230.8519","235.5323","240.0338","242.5196","246.9485","250.8535","254.7106","254.7106"
"gtm","3B_Manure-management","process","kt","2.3043","2.3771","2.4538","2.5274","2.5972","2.4355","2.4193","2.6084","2.6901","2.816","3.0372","3.1704","3.1185","2.752","2.7282","2.2875","2.6368","2.7444","2.8063","3.2116","3.1505","3.0269","3.2663","3.1729","3.1984","3.1457","3.1605","3.2743","3.2432","3.6601","3.7687","4.0277","4.2642","4.2197","4.3626","4.4307","4.4955","4.601","4.7824","4.8377","5.3438","5.8906","6.0429","6.222","6.7027","6.4675","6.5437","6.7173","6.933","7.105","7.1028","7.1966","7.2719","7.5222","7.6497","7.7267","7.8478","7.9617","8.0928","8.3442","8.4367","8.4816","8.4816"
"gtm","3D_Rice-Cultivation","process","kt","0.2515","0.2881","0.3516","0.3196","0.21","0.1718","0.3276","0.3798","0.2617","0.3158","0.385","0.3079","0.3473","0.3432","0.4582","0.5244","0.3384","0.3211","0.35","0.3528","0.4312","0.4861","0.3452","0.4488","0.4077","0.4018","0.6527","0.336","0.4234","0.3998","0.4626","0.4351","0.488","0.362","0.3072","0.3307","0.3312","0.3806","0.4116","0.4116","0.4214","0.4488","0.406","0.2348","0.2544","0.2544","0.2153","0.2192","0.2779","0.2935","0.2975","0.3014","0.3072","0.3131","0.3131","0.317","0.2996","0.3066","0.2159","0.2522","0.2692","0.3486","0.3486"
"guy","3E_Enteric-fermentation","process","kt","10.9186","13.2632","13.5665","16.2049","19.7717","20.7015","18.7897","18.4424","16.9469","15.6589","15.6508","15.7866","16.1108","16.2694","16.5997","15.8338","14.742","14.3179","8.7859","10.706","10.1758","10.6419","10.3619","7.9795","7.4875","7.5317","8.1277","9.0047","9.5915","10.4217","12.1243","12.6895","12.1531","11.4587","10.8859","10.5167","9.9887","9.7241","9.1373","8.55","8.2562","7.6681","7.6713","7.6715","7.6718","7.6719","7.7121","7.6713","7.7245","7.8398","8.0487","8.0653","8.0689","8.0899","8.0843","7.9556","7.7704","7.5696","7.3602","7.1551","7.2876","7.2428","7.2428"
"guy","3B_Manure-management","process","kt","0.3443","0.3966","0.4128","0.4804","0.5779","0.598","0.5834","0.6321","0.6218","0.6132","0.6229","0.6613","0.6847","0.6442","0.681","0.7674","0.7744","0.7007","0.5893","0.5806","0.5662","0.4956","0.4012","0.3638","0.3377","0.3346","0.3588","0.382","0.3537","0.3126","0.3309","0.3633","0.3999","0.3885","0.4057","0.436","0.448","0.434","0.4423","0.4306","0.4247","0.483","0.609","0.621","0.5992","0.561","0.6447","0.6051","0.6741","0.6348","0.6595","0.7441","0.7313","0.7183","0.7261","0.7447","0.7592","0.7721","0.7921","0.8001","0.815","0.8273","0.8273"
