"iso","sector","units","sector_description","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"abw","1A1a","kt","Public electricity and heat production","0.00045309121564671","0.00051928528795488","0.00089292915332561","0.00087170842656439","0.00088782685667648","0.0012137857771724","0.0010312665576234","0.0013372020466576","0.0012205314174751","0.0012546357896715","0.0013588206146689","0.0013490234601183","0.0013016334364258","0.0013295348671375","0.0016529388804178","0.0016502996498884","0.0017805652697087","0.0020160515070891","0.0021945359838615","0.0032187705141929","0.00291728503718139","0.00336989149126178","0.00386900860625001","0.00389411220066796","0.00448694732100202","0.00494523637619493","0.00331502508224344","0.00539940613615385","0.00578304417282005","0.00576107475352017","0.00448395489897393","0.00464160476661686","0.00503403142372313","0.00579188846325756","0.00597777044274827","0.00644168646347392","0.00744179723453806","0.00815094111949411","0.00823784324262971","0.00880419037695222","0.00819402365502504","0.00556859926533086","0.00683621465215987","0.0076769024478894","0.00807270609915306","0.008415953092179","0.00867229896086379","0.0081791018392529","0.00844278076749376","0.0100752112312266","0.00891230379055806","0.0096281566553303","0.0100217037372134","0.0104578171398964"
"abw","1A2","kt","Manufacturing Industries and Construction","0.0018709491162541","0.00179015559944724","0.0013965675612927","0.00157944315760033","0.00147350896151841","0.00130137692912394","0.00115692523399346","0.00127200775437223","0.00120251607740382","0.00124125462379659","0.00124499885104739","0.00114009938665276","0.00121399549692518","0.00101392583281637","0.000948103685339589","0.000995649756376833","0.00117667240864849","0.00102398252831772","0.000996307200542483","0.0010239603687475","0.00094423673479101","0.00100075523344171","0.00086211134625716","0.00081865160466438","0.00083794394636107","0.00090946494732131","0.00076644376003753","0.00090733062268467","0.00073765058065627","0.00078199740158982","0.00071456461713531","0.00069442892759822","0.00110816920781583","0.00108544940389353","0.00104917882647256","0.00100475096238476","0.0009784748986863","0.00088574053347004","0.00073730197370107","0.00085561147307205","0.00092031166438121","0.001466057629644","0.00179498761217135","0.00127743464395095","0.00139172551100104","0.00146001580527802","0.00151111782456286","0.00230451813819494","0.00200014508942789","0.00196657802943344","0.00174920497342836","0.00208669162553844","0.00210445787713866","0.00217005603151546"
"abw","1A3a","kt","Domestic aviation","5.3824275271116e-06","6.1687698454343e-06","3.6412649714009e-06","4.296779830173e-06","5.9486402406123e-06","6.0503375131723e-06","7.3485224183964e-06","7.5711881056136e-06","9.0351049286781e-06","9.0472249014559e-06","9.8211650229201e-06","1.0863518205891e-05","1.1590052269653e-05","1.1303942903157e-05","1.0739996275851e-05","1.7696496037123e-05","1.8431755044634e-05","2.2617952229027e-05","2.2664590976201e-05","3.9936644390108e-05","4.7559816250724e-05","5.7101613390968e-05","5.6270893200978e-05","5.0994218784476e-05","7.1716716364048e-05","8.3467024434693e-05","6.1164957756693e-05","0.00012376786242373","0.00010462617359675","0.00010980340787318","0.00010524455067581","8.177065023488e-05","8.2306521420517e-05","9.056153922408e-05","9.1396496633624e-05","9.9771779700296e-05","0.00010069995572822","0.0001101346270746","0.00011591145012706","0.00010466415083269","9.9702133412065e-05","9.8654813262983e-05","9.9428831908465e-05","0.00012105859571395","0.00012893835096314","0.00013223573966216","0.00013285945886306","0.00013776997353769","0.00011608833212853","0.00017835096487111","7.8500498382586e-05","8.7319717849599e-05","0.00012331581152951","0.00014462725478777"
"abw","1A3b_noRES","kt","Road transportation no resuspension","0.00032014610561375","0.00036673062596103","0.0004114582914249","0.00053929404571899","0.00061233282239791","0.0010925705759077","0.0012215089005186","0.0014261058841288","0.0015603584607314","0.0013670848539679","0.0023103290759497","0.0025410238474327","0.00302125307576","0.0033591660684931","0.0042871568607651","0.0042480229062599","0.004696518173111","0.0053230197287821","0.0058382122071448","0.0079538818364302","0.013841000409006","0.016540733436766","0.019736103918168","0.02006103040389","0.022640877407543","0.024115366651672","0.015525296133334","0.025969656107059","0.026593351794223","0.026421325593534","0.019776858805513","0.019418212175846","0.01968191793483","0.021669887555541","0.022242635028825","0.02419481737263","0.024495036877778","0.025701358935486","0.024676644721656","0.029134617998954","0.02979431357395","0.017569943326829","0.020976649933642","0.0226202448833553","0.024578738337137","0.025776584410144","0.0261724277457083","0.0250590913569329","0.0250359983735089","0.030309669314482","0.0235804874628068","0.0263825897176341","0.0262024625040783","0.0274771630253975"
"abw","1A3d","kt","Inland navigation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3934750095206e-06","5.5821060247368e-06","0.00019695737660668","0.0002246099171887","0.0001796598780831","0.00025772631532585","0.00025914215272584","0.00027243933869671","0.00017440953668154","0.00026480950330928","0.00025193264659323","0.00026318975080144","0.00019947324470235","0.00020307928650919","0.00022373832709785","0.00026307879579857","0.00029027022795354","0.00033760239167083","0.00043219899533673","0.00039001530689461","0.00039823295268545","0.00039998382237609","0.00039405606414267","0.00030206896948588","0.0007002502142931","0.0007801965164447","0.00087080579764403","0.00091385408272763","0.00096809905328691","0.00092513362486164","0.00091118143380891","0.0010760942962882","0.00093232602442137","0.0010108117627467","0.001027777266823","0.001149098826348"
"abw","1A3e","kt","Other transportation","0","0","0","0","0","0","0","0","0","0","0","2.5763049108997e-06","2.7486039065777e-06","4.5820122210946e-06","6.5660690256882e-06","6.8599666822508e-06","7.1423222620568e-06","1.1115727326631e-05","7.5316714448925e-06","9.5693246138344e-06","0.00017251818831976","0.00018527310799367","0.00021816202710704","0.00021944374031981","0.00024428383977475","0.00027228342094568","0.00018789572992233","0.0002952806610436","0.00031053064640397","0.00031048419256881","6.0390790408995e-05","7.7389506838336e-05","9.2190306385306e-05","0.00012250917933047","0.00012789814877138","0.0001376320798202","0.00015695456945552","0.00018613657854744","0.00018526559716056","0.00025595890475454","0.00018418845508653","0.00016736448302465","0.00022486538401254","0.00024133957736323","0.0002459692086431","0.00021193427612843","0.00021519760528462","0.00015818886481465","0.00016771794215627","0.00016695643745072","0.00016294585120638","0.00016551461157821","0.00016438160164233","0.00017238106811876"
"abw","1A4","kt","Residential and other sectors","0.00340155925648137","0.0034001443355182","0.0035791069051453","0.0039425766925609","0.0038623529155901","0.003663071413264","0.0036554211429831","0.003864938252808","0.0041217427803291","0.0044822565817756","0.0042875606552927","0.0046516723799138","0.0045468799116142","0.0045751605963151","0.0048207476485912","0.0051458405270275","0.0054068389164254","0.0054819093284445","0.0060260081185025","0.0077079397195408","0.0072868139560324","0.007878752823577","0.0076214852597897","0.0073402922762367","0.0073270094247896","0.0075567014133203","0.0065010003015328","0.0074520064882313","0.0077784939012512","0.0079146948579653","0.0065541614120156","0.0066911459402275","0.0068959496641843","0.0077056567646291","0.0077659010649138","0.0080576485469399","0.0083792146675877","0.0080873297827045","0.008349975361464","0.0109767511649163","0.0114435035008976","0.014569443271247","0.0171339097076616","0.0170706051258038","0.0183226996172267","0.0175496505759924","0.020711295652111","0.0193665665093424","0.0196824143914051","0.0164227855612561","0.0196540507689091","0.0191263477199716","0.0150266993838141","0.0152217087238583"
"abw","1B1","kt","Fugitive emissions from solid fuels","0.0042003969379076","0.0041236480838705","0.0042603215434084","0.0043954508134408","0.0043540837294893","0.0044178644280559","0.0051144399813171","0.0049662368193604","0.0050298090990187","0.0056005278762488","0.0038654469587546","0.0038323916150548","0.0037670552334452","0.0035302570327003","0.0042125512544305","0.0047633633633634","0.0048880917544947","0.0042102378854626","0.0046009870725924","0.0042920302571861","0.01320113005636","0.013164320135268","0.010917841541756","0.011059459459459","0.011198585106383","0.011094507042254","0.011560736955013","0.011658982423682","0.012165250315524","0.012304844473083","0.022011105273034","0.022432676005094","0.023689134801762","0.02400435272045","0.024249888678156","0.024596329456747","0.024710558006346","0.024606695201622","0.024735968402575","0.02466003960396","0.02459739505581","0.053092380683423","0.054751143497758","0.054294630350195","0.068844173531027","0.065383043478261","0.067542783310902","0.06907538684771","0.070152746304118","0.07025947826087","0.069083335915311","0.07411877603497","0.077388722036513","0.077388722036513"
"abw","1B2","kt","Fugitive emissions from oil and gas","0.00030142940617057","0.00034546654310643","0.00037876977670049","0.0005386140994655","0.00046800755898265","0.00037412762032422","0.00044100925871702","0.00072914741515359","0.00051396735420911","0.0005227553452131","0.00066118033054285","0.00054729975832954","0.00064873568227359","0.00057924921955554","0.00049620384505844","0.00013492623694836","5.5113964788492e-05","7.4139804768861e-05","7.1502131592012e-05","9.4340750284509e-05","0.00011851702721222","0.0059978243187829","0.00097193752528851","0.0011826627014181","0.0014779342481632","0.0014726167234388","0.0012303906012526","0.0018579721128068","0.0016221162934115","0.0020336294083923","1.828270309233","1.8252595970322","1.8227990729565","1.9604405848203","2.1921793716834","2.2091740749125","1.2071025716284","1.2339865326215","1.106456264184","0.97961040195849","0.61467236148663","0.81742072244181","0.10711126101513","0","0","0","0","0","0","0","0","0","0","0"
"abw","4A","kt","Enteric fermentation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.033937","0.034060004362638","0.034183651045708","0.034364143086969","0.034449571704362","0.034535212695702"
