"iso","sector","units","sector_description","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"abw","1A1a","kt","Public electricity and heat production","0.00019039973994035","0.00021821606856875","0.00030847607796415","0.00033667122529406","0.00031982096278558","0.00046276080508344","0.00043955495038922","0.00051672858779513","0.00055597289053556","0.00056686134531324","0.00059903653252292","0.00060762593111086","0.00059962085078693","0.00058208498831687","0.00068351167245015","0.00072738430846684","0.00078765098964117","0.00089887185162637","0.00098913009810249","0.0013072629495273","0.00108046962691145","0.00121271479794227","0.00138491544594817","0.00138429112654361","0.00154658634082278","0.001696869035882","0.0011365013484104","0.00183597272443634","0.00185161574286811","0.00183558740988128","0.00146564532951047","0.00148664699301985","0.00151718862640965","0.00183818653722644","0.00189963998729648","0.00216560549785404","0.00238148327425992","0.00269534921910506","0.0026876638320478","0.00285384051596476","0.00278427422948328","0.00163316179796387","0.00211876389760677","0.00229577050127771","0.00237011934456779","0.00245375170118367","0.00255863500509946","0.00237637929121942","0.00247544734252333","0.0029070346860722","0.00246713618590137","0.00237898252533266","0.00246793037666336"
"abw","1A2","kt","Manufacturing Industries and Construction","0.00309861780090643","0.00292185103792541","0.00224360424903651","0.00250295011388742","0.00229873323023411","0.00199714354443838","0.00174503370617491","0.00188913187708625","0.00175557651009875","0.00178546461994462","0.00175554513232939","0.00157546745169365","0.00165595211157063","0.00135042796846594","0.00123780581204446","0.00126963758625054","0.001464563535554","0.00124143372006827","0.00118492290976249","0.00116546298604454","0.00118700947687429","0.00122197401322062","0.00106785420797109","0.00103056337686714","0.00101595843139122","0.00104165690303278","0.00092775877633299","0.00102927989616633","0.00081157466489836","0.00082612733268567","0.00082119946121849","0.00072649188308463","0.0010439579778756","0.00102723854975747","0.00098698950717385","0.00093131301751633","0.00087044879582631","0.00070545762301521","0.00055342962887206","0.00085227717739072","0.00075538364936965","0.00115382955171004","0.00139926410233151","0.00108524792971955","0.00114460576869901","0.00110018652115364","0.0012013090953766","0.00141866878040625","0.00136572727718462","0.00134768386108369","0.00121755302230686","0.0012173837991936","0.00124000085501981"
"abw","1A3a","kt","Domestic aviation","4.7627927869719e-06","5.4599968011087e-06","3.2237131030224e-06","3.8050247564828e-06","5.2691713359903e-06","5.3606128492646e-06","6.5124596827462e-06","6.7114942556179e-06","8.0112172752971e-06","8.023997924505e-06","8.712614276529e-06","9.6397556554952e-06","1.0287052140569e-05","1.0035649579297e-05","9.5373918261283e-06","1.5718919961976e-05","1.6376157834564e-05","2.0100576083867e-05","2.0147119466951e-05","3.5509655538218e-05","9.6693191391872e-06","1.272974813087e-05","1.6238614846111e-05","1.5625084665771e-05","1.5341089498906e-05","1.8049790072262e-05","1.2219852513119e-05","1.919577607715e-05","8.6921492347872e-06","9.3823645200152e-06","7.4001556453338e-06","6.8376558312248e-06","6.5853227544614e-06","7.8127759364698e-06","8.4644370619891e-06","8.7745876232709e-06","8.8483945370266e-06","9.7501025365212e-06","9.6244962343329e-06","1.0138559476581e-05","1.093539250746e-05","9.0954421609119e-06","1.1913366400597e-05","1.3076624659289e-05","1.3058032714276e-05","1.4176580826304e-05","1.5727576404561e-05","1.4901565033089e-05","1.6200420240532e-05","1.913538881536e-05","1.1086248765969e-05","1.418240833124e-05","1.9076337966667e-05"
"abw","1A3b_noRES","kt","Road transportation no resuspension","0.00010335139362629","0.0001199985111499","0.00014405385920894","0.00015379929404855","0.00024535578802547","0.00028396554631255","0.00033511130111446","0.00032363832082444","0.00040910316948923","0.00047385277405534","0.00066391137677064","0.00069269131691747","0.00067237885060772","0.00081236022361188","0.0006176155618753","0.00059958957943509","0.00086095807769254","0.00091356999086002","0.0010636371169494","0.0016229568573912","0.005921872522375","0.0065971494101335","0.0072887957807342","0.007922930780435","0.0084293905684352","0.0091973880313191","0.0053877830819114","0.0088636390908123","0.010287391447428","0.010617238104004","0.0083451568052836","0.0085889670939471","0.0089295889330852","0.0099139522431532","0.0089796005771898","0.0098005634531496","0.011054085600435","0.012498196104236","0.01414244933885","0.014811410693645","0.016567112228894","0.0060183958858074","0.0093780192992521","0.0107595050877297","0.011141243230281","0.011449129271839","0.0100503572274471","0.00931540330609195","0.0101756185928794","0.0123345296382654","0.0104569382359092","0.0100775311918104","0.010457411808538"
"abw","1A3b_RES","kt","Road transportation resuspension","1.1831886773662e-05","1.358150242616e-05","1.5402257920627e-05","1.9441495967672e-05","2.360888877676e-05","3.9051769292761e-05","4.6024435896384e-05","5.2733967462908e-05","5.6920930631709e-05","5.1673398250493e-05","8.5823755722525e-05","9.3758217168593e-05","0.00010348252506872","0.00011729217777732","0.00014265795840416","0.00014100794961547","0.00015952286312106","0.00017974303057602","0.00019762208374711","0.00028635275178829","0.00055150970204249","0.00063473979284421","0.00072833630949971","0.00075175203874716","0.00085376328476504","0.00093719516056287","0.00061573750453128","0.0010517475480028","0.0011135979743779","0.0011467034906837","0.00092576385669721","0.00094287191808758","0.00099481333277327","0.001108481902292","0.0010913444376589","0.0012250503916307","0.0013098240357467","0.0014048747586034","0.0014270863433357","0.0015596965412643","0.0016607416312902","0.00095299703898585","0.0012009251706413","0.00138419004902609","0.0014773164122099","0.0014530159558903","0.00145257753480697","0.00142835422374524","0.00165398755054271","0.00187768669316283","0.00159186006681721","0.0015340207940951","0.00159188614627985"
"abw","1A3d","kt","Inland navigation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3850292488588e-05","3.0302860743211e-05","0.0006154777746584","0.00070188999457268","0.00035577370641201","0.00074447178846834","0.00068818769032969","0.00065302891240208","0.00037086654009627","0.0004371163426902","0.00033559746199148","0.00038457577945049","0.00022400845477742","0.00018311437540296","0.00018905044865563","0.00020935331331601","0.00020952059782669","0.00023172952008202","0.00046337242943542","0.00053424632511711","0.0006899200980609","0.00066225440429165","0.0006217729505459","0.00034778428730764","0.002276373350336","0.0025663073125303","0.0029495474491862","0.0030022354397365","0.003210677265613","0.0030640354407497","0.0029893433037294","0.0032123379520741","0.0027233172824676","0.0027434403165745","0.0028373478090734"
"abw","1A3e","kt","Other transportation","0","0","0","0","0","0","0","0","0","0","0","4.130675467694e-06","4.4069281858968e-06","7.3464925826374e-06","1.0527597152359e-05","1.0998813053411e-05","1.145152315839e-05","1.7822215309632e-05","1.2075779670538e-05","1.534281686051e-05","0.00010270642003231","0.00010690406530333","0.00013080077788437","0.00013994314318608","0.00016995178061803","0.00019611609090827","0.00013052976012933","0.0001989815328888","0.00022721633312416","0.00027332844332319","0.00020333578857737","0.00024339000438821","0.00026113415340787","0.00034919652870916","0.00040458446478047","0.00044134021644805","0.00054965764088646","0.00053808457989885","0.00053187033111891","0.00072019733124696","0.00045103963908312","0.00040013683933197","0.00052238237177423","0.0005474702297042","0.00058358559553404","0.00055786136116019","0.00057267135828372","0.0004423826420601","0.0004676408541522","0.00051656995090534","0.00043812625587883","0.0004221943920287","0.00043812625587883"
"abw","1A4","kt","Residential and other sectors","0.00231621491297868","0.00223551038153369","0.00225139855990661","0.00230779628909108","0.0022721955427188","0.00209640739711886","0.00200598965521817","0.00199144152260672","0.0020123739104362","0.00200782777356682","0.00206003844299116","0.00216511111721468","0.00214572107693912","0.00199530709121596","0.00210713089026495","0.00225201507098442","0.00233435419221446","0.00222710523933947","0.00226189738196159","0.0026066371531253","0.00452744493534126","0.00453203326371287","0.00445341155417921","0.00435891552162762","0.00420779986986918","0.00430275396065658","0.00395632601662627","0.0042931386340083","0.0045081309076273","0.00423486022264336","0.00420156307510922","0.00419374026038472","0.00440011796988229","0.00472181816545511","0.00479445504452351","0.00470909501536418","0.00451222529771819","0.00407902250296458","0.00453719645568469","0.00714286436988043","0.0069101273716003","0.0126440892422493","0.0142928344792879","0.0148153020098661","0.0167970813938268","0.0147988061208339","0.0181446657878043","0.0168115365310718","0.0168774761199451","0.010965039423739","0.0187309979761835","0.0188220768975424","0.0188571730176235"
"abw","1B1","kt","Fugitive emissions from solid fuels","2.38865669184146e-05","2.35299216810016e-05","2.43911707235116e-05","2.52549553439484e-05","2.51053486219595e-05","2.55627352957705e-05","2.96962763565363e-05","2.89424789077743e-05","2.94205533599433e-05","3.28751922751893e-05","2.27936947166713e-05","2.26908621144392e-05","2.23781209868196e-05","2.10666667604523e-05","2.52329818360422e-05","2.86498949349568e-05","2.95197085695119e-05","2.55423134017509e-05","2.80250792361589e-05","2.62606980738689e-05","8.09798679288968e-05","7.61054003140078e-05","6.62811433227518e-05","6.67832307341778e-05","6.72612278800118e-05","6.62788721280318e-05","6.86882834471428e-05","6.88953202032518e-05","7.14775636048903e-05","7.19001859340093e-05","0.000127864975303683","0.000129594050615667","0.000136080038800933","0.000137115665757363","0.000137740222372157","0.000138913681929077","0.000139558520492287","0.000138972198228677","0.000139701966272277","0.000139273335972967","0.000138919697407437","0.000299789676738842","0.000309153660030762","0.000306565087423505","0.000388688128143491","0.000369143761595022","0.000381330100319025","0.000388199250401624","0.000394583757276634","0.000395353711454684","0.000379888582537976","0.000397417144808615","0.000397414124823051"
"afg","1A1a","kt","Public electricity and heat production","0.000587768323914141","0.000588391602765518","0.00124810679508548","0.00187164806341293","0.00221215168620628","0.0022663322293338","0.00257910211598894","0.00427283554346529","0.00291251692095261","0.003320477124782","0.00343708111590524","0.00395504607497068","0.00396210944706018","0.00553315140308891","0.00510815160449023","0.00718321760952372","0.00744501082922169","0.00810134360604946","0.00755736770666509","0.00668185384136074","0.0066093843402078","0.0061393816895428","0.00373163288467204","0.00393253356444784","0.0025418120768551","0.00317480641930954","0.00320046183263806","0.00312524140004331","0.00366028496511533","0.0030812425323894","0.002668316105651","0.00517203030623737","0.00457435894743525","0.0075492216682619","0.0068840996742904","0.008347999525869","0.0097563882859206","0.0230982235496688","0.027919603169991","0.0386077295219724","0.0564337301091776","0.081053818850952","0.0719597832104444","0.0784905027908928","0.0890738669431761","0.0883397171867878","0.108489966022112","0.128879186984374","0.0849272186016467","0.0944794557318844","0.0637164856125651","0.0650105000013058","0.0642292769136762"
